=================================================================
  HSW-SF Pretest Training Loop
  Device : mps
  Nodes  : 20  |  Episodes : 30  |  Steps/ep : 100
=================================================================
[Data] Loading EuroSAT dataset (this may take a moment if downloading...)
  Ep   7 | Step   50 | G-Step    650 |  R=+0.000  V_top=1.2864  η=0.571  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.004  CritL=207334941.4902  ActL=16.2109
  Ep   7 | Step   60 | G-Step    660 |  R=-0.585  V_top=1.2852  η=0.553  L_cut= 1  FALLBACK  T_loss=0.000  S_loss=1.493  CritL=212666022.2951  ActL=17.8580
  Ep   7 | Step   70 | G-Step    670 |  R=-0.376  V_top=1.3219  η=0.505  L_cut= 9  FALLBACK  T_loss=0.000  S_loss=0.963  CritL=210686698.3662  ActL=19.5069
  Ep   7 | Step   80 | G-Step    680 |  R=+0.000  V_top=1.3152  η=0.503  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=2.027  CritL=213587208.0988  ActL=21.3532
  Ep   7 | Step   90 | G-Step    690 |  R=-0.607  V_top=1.3117  η=0.515  L_cut=12  FALLBACK  T_loss=0.000  S_loss=2.040  CritL=213372012.1319  ActL=23.2231

>>> Episode   7 done  |  Return=-173335.18  Avg10=-242652.10  Time=17.5s  Buffer=9634  Alive_nodes=15/20

  Ep   8 | Step    0 | G-Step    700 |  R=-0.587  V_top=0.0950  η=69315.265  L_cut= 5  SplitFed  T_loss=1.548  S_loss=1.423  CritL=243372784.0000  ActL=44.8841
  Ep   8 | Step   10 | G-Step    710 |  R=-0.727  V_top=1.2262  η=0.669  L_cut= 4  FALLBACK  T_loss=0.000  S_loss=2.454  CritL=229732369.4545  ActL=48.0788
  Ep   8 | Step   20 | G-Step    720 |  R=-34658.148  V_top=1.2484  η=0.501  L_cut= 3  FALLBACK  T_loss=0.000  S_loss=1.893  CritL=219260334.4762  ActL=50.4060
  Ep   8 | Step   30 | G-Step    730 |  R=-0.430  V_top=1.2570  η=0.676  L_cut= 5  FALLBACK  T_loss=0.000  S_loss=2.155  CritL=223363496.2581  ActL=53.5157
  Ep   8 | Step   40 | G-Step    740 |  R=-0.658  V_top=1.3179  η=0.524  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.977  CritL=218162289.1707  ActL=56.7637
  Ep   8 | Step   50 | G-Step    750 |  R=+0.000  V_top=1.3119  η=0.506  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.195  CritL=223046663.5294  ActL=60.1722
  Ep   8 | Step   60 | G-Step    760 |  R=-34657.696  V_top=1.3435  η=69315.265  L_cut=13  FALLBACK  T_loss=0.000  S_loss=1.355  CritL=228475913.7049  ActL=63.5031
  Ep   8 | Step   70 | G-Step    770 |  R=-0.480  V_top=1.3327  η=0.502  L_cut= 1  FALLBACK  T_loss=0.000  S_loss=1.625  CritL=233680996.7324  ActL=67.0259
  Ep   8 | Step   80 | G-Step    780 |  R=-0.614  V_top=1.3255  η=0.505  L_cut= 8  FALLBACK  T_loss=0.000  S_loss=2.224  CritL=236884861.2346  ActL=71.0109
  Ep   8 | Step   90 | G-Step    790 |  R=-0.365  V_top=1.3441  η=0.519  L_cut= 9  FALLBACK  T_loss=0.000  S_loss=1.923  CritL=240408043.0769  ActL=74.8981

>>> Episode   8 done  |  Return=-311957.82  Avg10=-251315.32  Time=20.8s  Buffer=11390  Alive_nodes=19/20

  Ep   9 | Step    0 | G-Step    800 |  R=-0.349  V_top=0.0950  η=0.501  L_cut= 1  SplitFed  T_loss=1.553  S_loss=1.133  CritL=205380768.0000  ActL=107.4875
  Ep   9 | Step   10 | G-Step    810 |  R=-0.346  V_top=0.8928  η=0.507  L_cut= 1  FALLBACK  T_loss=0.000  S_loss=1.561  CritL=218876773.0909  ActL=118.1837
  Ep   9 | Step   20 | G-Step    820 |  R=+0.000  V_top=1.2850  η=0.604  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.322  CritL=226566580.9524  ActL=123.9260
  Ep   9 | Step   30 | G-Step    830 |  R=-0.303  V_top=1.2820  η=0.503  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.424  CritL=215421040.7742  ActL=129.7575
  Ep   9 | Step   40 | G-Step    840 |  R=-0.410  V_top=1.3318  η=0.503  L_cut= 5  FALLBACK  T_loss=0.000  S_loss=1.035  CritL=213349442.5366  ActL=134.5497
  Ep   9 | Step   50 | G-Step    850 |  R=-0.410  V_top=1.3204  η=0.589  L_cut=12  FALLBACK  T_loss=0.000  S_loss=1.368  CritL=216798578.6667  ActL=139.0056
  Ep   9 | Step   60 | G-Step    860 |  R=-34657.938  V_top=1.3130  η=0.582  L_cut= 3  FALLBACK  T_loss=0.000  S_loss=0.611  CritL=221866747.4098  ActL=144.4071
  Ep   9 | Step   70 | G-Step    870 |  R=-0.383  V_top=1.3076  η=0.547  L_cut= 2  FALLBACK  T_loss=0.000  S_loss=0.682  CritL=223902069.2958  ActL=150.1880
  Ep   9 | Step   80 | G-Step    880 |  R=-0.594  V_top=1.3543  η=0.527  L_cut= 5  FALLBACK  T_loss=0.000  S_loss=1.014  CritL=225415459.2593  ActL=156.4110
  Ep   9 | Step   90 | G-Step    890 |  R=-34657.733  V_top=1.3905  η=0.507  L_cut= 2  FALLBACK  T_loss=0.000  S_loss=1.833  CritL=226786365.8022  ActL=162.3365

>>> Episode   9 done  |  Return=-346611.24  Avg10=-261903.75  Time=22.8s  Buffer=13356  Alive_nodes=20/20

  Ep  10 | Step    0 | G-Step    900 |  R=-0.271  V_top=0.0950  η=69315.265  L_cut=10  SplitFed  T_loss=1.834  S_loss=2.149  CritL=315875776.0000  ActL=231.3197
  Ep  10 | Step   10 | G-Step    910 |  R=-0.272  V_top=1.0085  η=0.526  L_cut= 4  FALLBACK  T_loss=0.000  S_loss=1.493  CritL=249743920.0000  ActL=237.8287
  Ep  10 | Step   20 | G-Step    920 |  R=-0.315  V_top=1.3265  η=0.536  L_cut= 6  FALLBACK  T_loss=0.000  S_loss=1.496  CritL=242207135.2381  ActL=244.9592
  Ep  10 | Step   30 | G-Step    930 |  R=-0.621  V_top=1.3103  η=0.514  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=2.015  CritL=246085034.0645  ActL=252.2644
  Ep  10 | Step   40 | G-Step    940 |  R=-0.327  V_top=1.3995  η=0.524  L_cut= 5  FALLBACK  T_loss=0.000  S_loss=0.931  CritL=231744662.8293  ActL=260.6286
  Ep  10 | Step   50 | G-Step    950 |  R=-0.323  V_top=1.4146  η=0.579  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.449  CritL=232056280.7843  ActL=269.9028
  Ep  10 | Step   60 | G-Step    960 |  R=-0.299  V_top=1.3919  η=0.501  L_cut= 5  FALLBACK  T_loss=0.000  S_loss=2.507  CritL=231962633.9672  ActL=279.2117
  Ep  10 | Step   70 | G-Step    970 |  R=-0.326  V_top=1.4319  η=0.533  L_cut= 5  FALLBACK  T_loss=0.000  S_loss=1.082  CritL=234733903.7746  ActL=288.3974
  Ep  10 | Step   80 | G-Step    980 |  R=-0.260  V_top=1.4374  η=0.599  L_cut= 4  FALLBACK  T_loss=0.000  S_loss=1.358  CritL=233152802.1728  ActL=297.1275
  Ep  10 | Step   90 | G-Step    990 |  R=-0.566  V_top=1.4417  η=0.569  L_cut=10  FALLBACK  T_loss=0.000  S_loss=1.762  CritL=233731184.3516  ActL=305.9434

>>> Episode  10 done  |  Return=-138663.96  Avg10=-249579.77  Time=22.7s  Buffer=15356  Alive_nodes=20/20

[Agent] Checkpoint saved → sac_clf_ep010.pt
  Ep  11 | Step    0 | G-Step   1000 |  R=-0.267  V_top=0.0950  η=69315.265  L_cut= 4  SplitFed  T_loss=2.010  S_loss=2.194  CritL=203872592.0000  ActL=426.8752
  Ep  11 | Step   10 | G-Step   1010 |  R=-0.261  V_top=1.0085  η=0.526  L_cut= 9  FALLBACK  T_loss=0.000  S_loss=0.539  CritL=219884053.8182  ActL=421.7260
  Ep  11 | Step   20 | G-Step   1020 |  R=-0.313  V_top=1.3265  η=0.536  L_cut= 1  FALLBACK  T_loss=0.000  S_loss=1.715  CritL=225942507.0476  ActL=429.1658
